,name,boundary
38,LONDON ACC,N51.27.04.00 E000.47.58.00/N51.26.58.00 E000.55.32.00/N51.23.00.00 E002.00.00.00/N51.07.00.00 E002.00.00.00/N51.00.00.00 E001.28.00.00/N50.54.61.00 E001.28.00.00/N50.11.05.00 E001.18.32.00/N51.27.04.00 E000.47.58.00/N54.30.00.00 W003.35.33.00/N54.30.07.00 W002.52.45.00/N54.08.48.00 W002.34.33.00/N54.00.43.00 W002.27.43.00/N54.01.47.00 W001.35.15.00/N53.43.09.00 W001.16.18.00/N53.18.36.00 W000.57.24.00/N53.06.25.00 W000.46.12.00/N53.10.17.00 W001.20.43.00/N53.00.31.00 W001.47.40.00/N53.12.25.00 W001.58.44.00/N53.31.44.00 W002.17.00.00/N53.39.47.00 W002.52.24.00/N53.41.25.00 W003.27.34.00/N54.30.00.00 W003.35.33.00/N54.30.00.00 W003.35.33.00/N54.30.07.00 W002.52.45.00/N54.08.48.00 W002.34.33.00/N54.00.43.00 W002.27.43.00/N54.01.47.00 W001.35.15.00/N53.43.09.00 W001.16.18.00/N53.18.36.00 W000.57.24.00/N53.06.25.00 W000.46.12.00/N53.10.17.00 W001.20.43.00/N53.00.31.00 W001.47.40.00/N53.12.25.00 W001.58.44.00/N53.10.29.00 W002.05.57.00/N52.51.00.00 W002.45.29.00/N52.53.33.00 W002.50.14.00/N52.53.40.00 W002.53.54.00/N52.53.55.00 W003.02.09.00/N52.54.23.00 W003.18.38.00/N52.54.37.00 W003.26.53.00/N52.55.42.00 W004.14.47.00/N53.11.12.00 W005.08.59.00/N53.11.48.00 W005.30.00.00/N53.40.48.00 W005.30.00.00/N53.46.02.00 W005.30.00.00/N53.48.17.00 W005.30.00.00/N53.46.17.00 W004.31.12.00/N53.54.19.00 W004.21.51.00/N53.53.58.00 W004.06.08.00/N53.41.49.00 W003.36.49.00/N53.41.25.00 W003.27.34.00
39,LONDON ACC 2 3,N53.11.48.00 W005.30.00.00/N53.11.12.00 W005.08.59.00/N52.55.42.00 W004.14.47.00/N52.54.23.00 W003.18.38.00/N52.53.40.00 W002.53.54.00/N52.53.33.00 W002.50.14.00/N52.51.00.00 W002.45.29.00/N52.50.45.00 W002.45.28.00/N52.41.49.00 W002.37.50.00
40,LONDON ACC 5 1,N52.32.51.00 W002.30.14.00/N52.16.26.00 W002.12.13.00/N52.09.46.00 W002.05.00.00/N52.09.16.00 W002.04.28.00/N52.00.01.00 W002.47.00.00/N52.00.01.00 W003.16.35.00/N52.05.22.00 W003.58.49.00/N52.35.50.00 W004.51.52.00/N52.57.05.00 W005.30.00.00/N53.11.48.00 W005.30.00.00
41,LONDON ACC 5 2,N52.09.16.00 W002.04.28.00/N51.59.42.00 W001.54.11.00/N51.53.36.00 W001.47.41.00/N51.47.51.00 W001.41.36.00/N51.41.26.00 W002.00.00.00/N51.15.27.00 W002.00.00.00/N51.29.05.00 W003.45.42.00/N52.05.22.00 W003.58.49.00/N52.00.01.00 W003.16.35.00/N52.00.01.00 W002.47.00.00/N52.09.16.00 W002.04.28.00/N49.54.57.00 W002.30.12.00/N49.49.29.00 W003.02.03.00/N49.47.07.00 W003.15.34.00
42,LONDON ACC,N49.44.14.00 W003.31.46.00/N49.39.05.00 W004.00.05.00/N49.37.18.00 W004.09.41.00/N51.17.19.00 W003.47.40.00/N51.29.21.00 W004.12.10.00/N51.29.05.00 W003.45.42.00/N51.15.27.00 W002.00.00.00/N50.55.43.00 W002.00.00.00/N50.49.47.00 W002.33.17.00/N50.44.59.00 W002.31.07.00/N50.39.47.00 W002.31.09.00/N50.37.12.00 W002.17.31.00/N50.31.46.00 W002.20.18.00/N50.17.45.00 W002.27.25.00/N49.54.57.00 W002.30.12.00
43,LONDON ACC 6 1,N53.12.25.00 W001.58.44.00/N53.10.29.00 W002.05.57.00/N52.51.00.00 W002.45.29.00/N52.53.33.00 W002.50.14.00/N52.53.40.00 W002.53.54.00/N52.53.55.00 W003.02.09.00/N52.54.23.00 W003.18.38.00/N52.54.37.00 W003.26.53.00/N52.55.42.00 W004.14.47.00
44,LONDON ACC 7 1,N53.11.12.00 W005.08.59.00/N53.11.48.00 W005.30.00.00/N53.40.48.00 W005.30.00.00/N53.46.02.00 W005.30.00.00/N53.48.17.00 W005.30.00.00/N53.46.17.00 W004.31.12.00/N53.54.19.00 W004.21.51.00/N53.53.58.00 W004.06.08.00/N53.41.49.00 W003.36.49.00/N53.41.25.00 W003.27.34.00/N53.39.47.00 W002.52.24.00/N53.31.44.00 W002.17.00.00/N53.12.25.00 W001.58.44.00/N52.57.05.00 W005.30.00.00/N52.05.22.00 W003.58.49.00/N51.29.05.00 W003.45.42.00
45,LONDON ACC 8 1,N51.29.21.00 W004.12.10.00/N51.40.34.00 W006.00.27.00/N52.00.49.00 W006.07.20.00/N52.20.00.00 W005.30.00.00/N52.57.05.00 W005.30.00.00
46,LONDON ACC,N52.00.49.00 W006.07.20.00/N51.40.34.00 W006.00.27.00/N51.29.21.00 W004.12.10.00/N51.17.19.00 W003.47.40.00/N49.37.18.00 W004.09.41.00/N49.28.41.00 W004.54.59.00/N48.50.00.00 W008.00.00.00/N49.34.59.00 W008.00.00.00/N51.00.00.00 W008.00.00.00/N51.25.28.00 W007.13.51.00/N52.00.49.00 W006.07.20.00
47,LONDON ACC 9 1,N54.01.47.00 W001.35.15.00/N54.01.47.00 W000.39.28.00/N54.01.44.00 W000.29.07.00/N54.01.45.00 W000.18.52.00/N54.01.45.00 E000.06.02.00/N53.35.39.00 E000.27.56.00/N53.32.30.00 E000.50.45.00
48,LONDON ACC 10 1,N53.28.56.00 E000.57.09.00/N52.53.24.00 E000.46.19.00/N53.04.26.00 W000.44.22.00/N53.06.25.00 W000.46.12.00/N53.12.23.00 W000.51.40.00/N53.15.50.00 W000.54.51.00/N53.18.36.00 W000.57.24.00/N53.40.39.00 W001.14.19.00/N53.43.09.00 W001.16.16.00/N53.58.09.00 W001.31.32.00/N54.01.47.00 W001.35.15.00/N54.01.45.00 E000.06.02.00/N54.01.44.00 E000.14.47.00/N54.01.41.00 E000.27.19.00/N53.23.02.00 E002.40.06.00/N53.18.13.00 E002.44.00.00/N53.17.10.00 E002.52.09.00/N53.14.41.00 E003.11.02.00/N53.10.29.00 E003.21.58.00/N52.55.01.00 E003.08.54.00/N52.32.50.00 E002.50.26.00/N52.28.19.00 E002.46.44.00/N52.28.42.00 E002.34.14.00
49,LONDON ACC 10 2,N52.32.35.00 E002.06.08.00/N52.34.12.00 E001.54.11.00/N52.25.10.00 E001.28.16.00/N52.25.35.00 E001.05.58.00/N52.26.15.00 E000.13.48.00/N52.26.21.00 E000.01.47.00/N52.26.26.00 W000.10.12.00/N53.04.26.00 W000.44.22.00/N52.53.24.00 E000.46.19.00/N53.28.56.00 E000.57.09.00/N53.32.30.00 E000.50.45.00/N53.35.39.00 E000.27.56.00/N54.01.45.00 E000.06.02.00/N54.01.45.00 E000.06.02.00/N54.01.44.00 E000.14.47.00/N54.01.41.00 E000.27.19.00/N53.23.02.00 E002.40.06.00/N53.18.13.00 E002.44.00.00/N53.17.10.00 E002.52.09.00/N53.14.41.00 E003.11.02.00/N53.10.29.00 E003.21.58.00/N52.55.01.00 E003.08.54.00/N52.32.50.00 E002.50.26.00/N52.28.19.00 E002.46.44.00/N52.28.42.00 E002.34.14.00/N52.32.35.00 E002.06.08.00/N52.34.12.00 E001.54.11.00/N52.25.10.00 E001.28.16.00/N52.25.35.00 E001.05.58.00
50,LONDON ACC,N52.26.15.00 E000.13.48.00/N52.26.21.00 E000.01.47.00/N52.26.26.00 W000.10.12.00/N53.04.26.00 W000.44.22.00/N53.06.25.00 W000.46.12.00/N53.12.23.00 W000.51.40.00/N53.15.50.00 W000.54.51.00/N53.18.36.00 W000.57.24.00/N53.40.39.00 W001.14.19.00/N53.43.09.00 W001.16.16.00/N53.58.09.00 W001.31.32.00/N54.01.47.00 W001.35.15.00/N54.01.47.00 W000.39.28.00/N54.01.44.00 W000.29.07.00/N54.01.45.00 W000.18.52.00/N54.01.45.00 E000.06.02.00
51,LONDON ACC 11 1,N52.26.15.00 E000.13.48.00/N52.25.35.00 E001.05.58.00/N52.25.10.00 E001.28.16.00/N52.34.12.00 E001.54.11.00/N52.32.35.00 E002.06.08.00/N52.28.42.00 E002.34.14.00/N52.28.19.00 E002.46.44.00/N52.23.19.00 E002.42.37.00
52,LONDON ACC 12 1,N52.18.26.00 E002.38.38.00/N52.06.53.00 E002.29.17.00/N51.57.02.00 E002.21.23.00/N51.56.19.00 E001.51.02.00/N51.48.27.00 E001.36.43.00/N52.07.13.00 E000.51.49.00/N52.12.21.00 E000.48.19.00/N52.11.04.00 E000.32.42.00/N52.11.04.00 E000.05.28.00/N52.19.06.00 W000.03.44.00/N52.26.15.00 E000.13.48.00/N52.11.04.00 E000.05.28.00/N52.11.04.00 E000.32.42.00/N52.12.21.00 E000.48.19.00/N52.07.13.00 E000.51.49.00
53,LONDON ACC 12 2,N51.48.27.00 E001.36.43.00/N51.45.19.00 E000.50.29.00/N51.44.17.00 E000.36.07.00/N51.52.43.00 E000.26.33.00/N52.02.28.00 E000.15.24.00/N52.11.04.00 E000.05.28.00
54,LONDON ACC 13 1,N51.44.17.00 E000.36.07.00/N51.45.19.00 E000.50.29.00/N51.48.27.00 E001.36.43.00/N51.56.19.00 E001.51.02.00/N51.57.02.00 E002.21.23.00/N51.30.00.00 E002.00.00.00/N51.26.38.00 E002.00.00.00/N51.23.00.00 E002.00.00.00/N51.24.30.00 E001.36.43.00/N51.26.17.00 E001.07.24.00/N51.26.58.00 E000.55.32.00/N51.31.56.00 E000.50.00.00/N51.40.04.00 E000.40.52.00/N51.44.17.00 E000.36.07.00/N51.48.27.00 E001.36.43.00/N51.56.19.00 E001.51.02.00/N51.57.02.00 E002.21.23.00/N51.30.00.00 E002.00.00.00
55,LONDON ACC,N51.26.38.00 E002.00.00.00/N51.23.00.00 E002.00.00.00/N51.24.30.00 E001.36.43.00/N51.48.27.00 E001.36.43.00
56,LONDON ACC 15 1,N51.27.15.00 E000.33.00.00/N51.08.34.00 E000.35.14.00/N51.09.10.00 E000.33.49.00/N51.17.34.00 E000.09.25.00
57,LONDON ACC 15 2,N51.27.15.00 E000.33.00.00/N51.27.04.00 E000.47.58.00/N51.01.05.00 E001.18.32.00/N50.54.16.00 E001.28.00.00/N50.55.03.00 E001.05.12.00/N51.02.38.00 E000.48.55.00/N51.08.34.00 E000.35.14.00/N51.27.15.00 E000.33.00.00
58,LONDON ACC 15 3,N51.27.04.00 E000.47.58.00/N51.26.58.00 E000.55.31.00/N51.25.54.00 E001.13.03.00/N51.24.50.00 E001.31.19.00/N51.00.00.00 E001.28.00.00/N50.54.16.00 E001.28.00.00/N51.01.05.00 E001.18.32.00
59,LONDON ACC 15 4,N51.24.50.00 E001.31.19.00/N51.23.00.00 E002.00.00.00/N51.07.00.00 E002.00.00.00/N51.00.00.00 E001.28.00.00
60,LONDON ACC 16 1,N50.58.42.00 E000.57.54.00/N51.01.05.00 E001.18.32.00/N50.54.16.00 E001.28.00.00/N50.55.30.00 E001.05.12.00/N50.58.24.00 E000.57.54.00
61,LONDON ACC 16 2,N50.55.30.00 E001.05.12.00/N50.54.16.00 E001.28.00.00/N50.42.44.00 E001.44.05.00/N50.36.07.00 E001.32.20.00/N50.39.44.00 E001.27.17.00/N50.55.30.00 E001.05.12.00
62,LONDON ACC 17 1,N51.08.53.00 W000.11.25.00/N51.17.34.00 E000.09.25.00/N51.09.10.00 E000.33.49.00/N51.08.34.00 E000.35.14.00
63,LONDON ACC 17 2,N51.02.38.00 E000.48.55.00/N50.56.56.00 E001.01.56.00/N50.46.17.00 E000.58.50.00/N50.59.04.00 E000.01.24.00
64,LONDON ACC 17 3,N50.59.14.00 E000.01.24.00/N50.46.17.00 E000.58.50.00/N50.42.19.00 E000.57.41.00/N50.33.30.00 E000.34.16.00
65,LONDON ACC 17 4,N50.56.56.00 E001.01.56.00/N50.55.30.00 E001.05.12.00/N50.39.44.00 E001.27.17.00/N50.46.17.00 E000.58.50.00/N50.56.56.00 E001.01.56.00
66,LONDON ACC 17 5,N50.46.17.00 E000.58.50.00/N50.39.44.00 E001.27.17.00/N50.24.05.00 E000.46.11.00/N50.33.30.00 E000.34.16.00/N45.60.71.00 E000.55.80.00
67,LONDON ACC 18 1,N51.08.53.00 W000.11.25.00/N50.55.30.00 E000.06.02.00/N50.37.00.00 W000.39.38.00/N50.52.16.00 W000.38.43.00/N51.08.53.00 W000.11.25.00
68,LONDON ACC 18 2,N50.55.30.00 E000.06.02.00/N50.33.30.00 E000.34.16.00/N50.26.13.00 E000.15.08.00/N50.29.57.00 W000.32.09.00/N50.37.00.00 W000.39.38.00/N50.55.30.00 E000.06.02.00
69,LONDON ACC,N50.29.57.00 W000.32.09.00/N50.26.13.00 E000.15.08.00/N50.33.30.00 E000.34.16.00/N50.24.05.00 E000.46.11.00
70,LONDON ACC 18 3,N50.53.01.00 W001.14.54.00/N50.55.12.00 W000.59.08.00/N50.41.39.00 W001.03.07.00
71,LONDON ACC 19 1,N50.41.25.00 W001.23.15.00/N50.53.01.00 W001.14.54.00/N50.41.39.00 W001.03.07.00/N50.41.53.00 W000.44.50.00/N50.37.00.00 W000.39.38.00
72,LONDON ACC 19 2,N50.29.75.00 W000.32.09.00/N50.00.00.00 W001.09.29.00/N50.41.39.00 W001.03.07.00/N50.41.25.00 W001.23.15.00/N50.41.39.00 W001.03.07.00/N50.00.00.00 W001.09.29.00
73,LONDON ACC 19 3,N52.07.54.00 W001.32.40.00/N50.41.25.00 W001.23.15.00/N50.55.12.00 W000.59.08.00/N50.55.38.00 W000.55.54.00/N50.48.48.00 W000.52.14.00
74,LONDON ACC 19 4,N50.41.35.00 W000.44.05.00/N54.01.39.00 W001.03.07.00/N50.55.12.00 W000.59.08.00/N50.55.38.00 W000.55.54.00/N50.53.01.00 W001.15.54.00
75,LONDON ACC 19 5,N51.11.17.00 W001.06.36.00/N51.21.38.00 W001.36.00.00/N51.13.50.00 W001.21.59.00/N50.58.59.00 W001.28.11.00/N50.49.46.00 W001.34.39.00/N50.40.35.00 W001.41.02.00
76,LONDON ACC 20 1,N50.37.12.00 W002.17.31.00/N50.39.47.00 W002.31.09.00/N50.44.59.00 W002.31.07.00/N50.49.47.00 W002.33.17.00/N50.55.43.00 W002.00.00.00/N51.15.27.00 W002.00.00.00/N51.13.50.00 W001.21.59.00/N51.11.17.00 W001.06.36.00/N50.55.40.00 W001.13.12.00
77,LONDON ACC 20 2,N50.53.01.00 W001.14.54.00/N50.49.28.00 W001.17.35.00/N50.49.46.00 W001.34.39.00/N50.58.59.00 W001.28.11.00/N51.13.50.00 W001.21.59.00/N51.11.17.00 W001.06.36.00/N50.55.38.00 W000.55.54.00/N50.53.01.00 W001.14.54.00
78,LONDON ACC,N50.55.40.00 W001.13.12.00/N51.11.17.00 W001.06.36.00
79,LONDON ACC 20 4,N50.49.46.00 W001.34.39.00/N50.49.28.00 W001.17.35.00/N50.41.25.00 W001.23.15.00/N50.40.53.00 W001.41.02.00/N50.49.46.00 W001.34.39.00
80,LONDON ACC 20 5,N50.40.12.00 W002.15.58.00/N50.40.35.00 W001.41.02.00/N50.31.56.00 W001.47.00.00/N49.54.57.00 W002.30.12.00/N50.17.45.00 W002.27.25.00/N50.37.12.00 W002.17.31.00/N50.40.12.00 W002.15.58.00
81,LONDON ACC 20 6,N50.40.35.00 W001.41.02.00/N50.41.25.00 W001.23.15.00/N50.27.54.00 W001.32.40.00
82,LONDON ACC 20 7,N50.31.56.00 W001.47.00.00/N50.27.54.00 W001.32.40.00/N50.00.00.00 W002.00.00.00/N49.58.23.00 W002.09.48.00/N50.31.56.00 W001.47.00.00
83,LONDON ACC 21 1,N50.49.46.00 W001.34.39.00/N50.49.28.00 W001.17.35.00/N50.27.54.00 W001.32.40.00
84,LONDON ACC 21 2,N50.31.56.00 W001.47.00.00/N50.27.54.00 W001.32.40.00/N50.00.00.00 W002.00.00.00/N50.31.56.00 W001.47.00.00
85,LONDON ACC 21 3,N50.27.54.00 W001.32.40.00/N50.16.16.00 W001.40.42.00/N50.00.00.00 W001.43.01.00/N50.27.54.00 W001.32.40.00/N50.53.01.00 W001.14.54.00/N50.55.12.00 W000.59.08.00/N50.49.02.00 W001.00.57.00
86,LONDON ACC 22 1,N50.49.28.00 W001.17.35.00/N50.53.01.00 W001.14.54.00/N50.55.12.00 W000.59.08.00/N50.55.38.00 W000.55.54.00/N50.48.48.00 W000.52.14.00
87,LONDON ACC 22 2,N50.49.02.00 W001.00.57.00/N50.55.12.00 W000.59.08.00/N50.49.28.00 W001.17.35.00/N50.49.02.00 W001.00.57.00/N50.41.39.00 W001.03.07.00
88,LONDON ACC 22 3,N50.41.25.00 W001.23.15.00/N50.49.28.00 W001.17.35.00/N50.41.25.00 W001.23.15.00/N50.41.39.00 W001.03.07.00/N50.37.00.00 W001.03.51.00
89,LONDON ACC 22 4,N50.37.00.00 W001.26.20.00/N50.41.25.00 W001.23.15.00/N50.49.02.00 W001.00.57.00/N50.48.48.00 W000.52.14.00/N50.41.53.00 W000.44.50.00
90,LONDON ACC 22 5,N50.37.00.00 W000.39.38.00/N50.37.00.00 W001.03.51.00/N50.41.39.00 W001.03.07.00/N50.49.02.00 W001.00.57.00/N50.37.00.00 W001.26.20.00/N50.37.00.00 W001.03.51.00/N50.00.00.00 W001.09.29.00
91,LONDON ACC 22 6,N50.00.00.00 W001.43.01.00/N50.16.16.00 W001.40.42.00/N50.27.54.00 W001.32.40.00/N50.37.00.00 W001.26.20.00/N50.37.00.00 W001.03.51.00/N50.37.00.00 W000.39.38.00/N50.29.57.00 W000.32.09.00
92,LONDON ACC 22 7,N50.00.00.00 W000.31.58.00/N50.00.00.00 W001.09.29.00/N50.37.00.00 W001.03.51.00/N50.27.54.00 W001.32.40.00/N50.16.16.00 W001.40.42.00/N50.00.00.00 W001.43.01.00
93,LONDON ACC 22 8,N50.00.00.00 W002.00.00.00/N50.27.54.00 W001.32.40.00/N52.05.22.00 W003.58.49.00/N52.00.01.00 W003.16.35.00/N52.00.01.00 W002.47.00.00/N52.09.16.00 W002.04.28.00/N51.47.51.00 W001.41.36.00/N51.41.26.00 W002.00.00.00/N51.15.27.00 W002.00.00.00/N51.29.05.00 W003.45.42.00/N52.05.22.00 W003.58.49.00/N51.47.51.00 W001.41.36.00/N51.42.11.00 W001.35.37.00/N51.40.55.00 W001.34.58.00/N51.37.06.00 W001.33.50.00/N51.26.24.00 W001.29.33.00/N51.18.37.00 W001.28.13.00/N51.41.26.00 W002.00.00.00/N51.47.51.00 W001.41.36.00/N51.40.55.00 W001.34.58.00/N51.39.43.00 W001.26.46.00/N51.36.01.00 W001.24.53.00/N51.37.06.00 W001.33.50.00/N51.40.55.00 W001.34.58.00/N51.37.06.00 W001.33.50.00/N51.36.01.00 W001.24.53.00/N51.35.33.00 W001.21.03.00/N51.16.17.00 W001.20.57.00/N51.13.50.00 W001.21.59.00/N51.13.06.00 W001.30.31.00/N51.18.37.00 W001.28.13.00/N51.26.24.00 W001.29.33.00/N51.37.06.00 W001.33.50.00/N51.41.26.00 W002.00.00.00/N51.49.31.00 W001.36.48.00/N52.00.01.00 W001.12.26.00/N51.51.11.00 W000.57.45.00/N51.13.08.00 W000.15.58.00/N51.10.27.00 W002.00.00.00/N51.41.26.00 W002.00.00.00
94,LONDON ACC 25 1,N51.53.36.00 W001.47.41.00/N51.53.00.00 W001.28.44.00/N52.00.00.00 W001.12.26.00/N51.54.21.00 W001.02.57.00/N51.43.19.00 W001.28.37.00/N51.39.43.00 W001.26.46.00/N51.40.55.00 W001.34.58.00/N51.42.11.00 W001.35.37.00/N51.47.51.00 W001.41.36.00/N51.53.36.00 W001.47.41.00
95,LONDON ACC 25 2,N51.47.51.00 W001.41.36.00/N51.42.11.00 W001.35.37.00/N51.40.55.00 W001.34.58.00/N51.39.43.00 W001.26.46.00/N51.36.01.00 W001.24.53.00/N51.35.33.00 W001.21.03.00/N51.16.17.00 W001.20.57.00/N51.13.50.00 W001.21.59.00/N51.12.38.00 W001.36.00.00/N51.15.27.00 W002.00.00.00/N51.41.26.00 W002.00.00.00/N51.47.51.00 W001.41.36.00
96,LONDON ACC 25 3,N51.43.19.00 W001.28.37.00/N51.54.21.00 W001.02.57.00/N51.51.11.00 W000.57.45.00/N51.08.53.00 W000.11.25.00/N50.46.26.00 W000.49.42.00/N50.48.48.00 W000.52.14.00/N51.16.17.00 W001.20.57.00/N51.35.33.00 W001.21.03.00/N51.36.01.00 W001.24.53.00/N51.39.43.00 W001.26.46.00/N51.43.19.00 W001.28.37.00
97,LONDON ACC 25 4,N50.46.26.00 W000.49.42.00/N51.08.53.00 W000.11.25.00/N50.54.33.00 E000.07.16.00/N50.38.07.00 W000.40.49.00/N50.46.26.00 W000.49.42.00
98,LONDON ACC 26 1,N52.00.00.00 W001.12.26.00/N52.06.03.00 W000.58.14.00/N51.58.59.00 W000.52.02.00/N51.53.50.00 W000.45.38.00/N51.48.02.00 W000.38.28.00/N51.56.19.00 W000.07.48.00/N51.48.01.00 E000.00.08.00/N51.27.15.00 E000.33.00.00/N51.08.53.00 W000.11.25.00/N51.51.11.00 W000.57.45.00/N51.54.21.00 W001.02.57.00/N52.00.00.00 W001.12.26.00
99,LONDON ACC 26 2,N51.56.19.00 W000.07.48.00/N52.02.28.00 E000.15.24.00/N51.26.58.00 E000.55.32.00/N51.27.15.00 E000.33.00.00/N51.48.01.00 E000.00.08.00/N51.56.19.00 W000.07.48.00
100,LONDON ACC 26 3,N51.27.15.00 E000.33.00.00/N51.08.34.00 E000.35.14.00/N51.02.38.00 E000.48.55.00/N50.59.04.00 E000.01.24.00/N51.27.15.00 E000.33.00.00
101,LONDON ACC,N51.27.15.00 E000.33.00.00/N51.27.04.00 E000.47.58.00/N51.01.05.00 E001.18.32.00/N50.58.42.00 E000.57.54.00
